TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-04-11 08:00:00,63.48,75.78,8,0 days 08:00:00.000000000
2019-04-11 09:00:00,50.31,59.69,9,0 days 09:00:00.000000000
2019-04-11 10:00:00,60.51,69.27,10,0 days 10:00:00.000000000
2019-04-11 11:00:00,30.07,35.56,11,0 days 11:00:00.000000000
2019-04-11 12:00:00,32.83,38.9,12,0 days 12:00:00.000000000
2019-04-11 13:00:00,28.83,33.62,13,0 days 13:00:00.000000000
2019-04-11 14:00:00,36.93,42.82,14,0 days 14:00:00.000000000
2019-04-11 15:00:00,25.86,30.3,15,0 days 15:00:00.000000000
2019-04-11 16:00:00,28.74,34.25,16,0 days 16:00:00.000000000
2019-04-11 17:00:00,41.55,50.46,17,0 days 17:00:00.000000000
2019-04-11 18:00:00,46.43,56.88,18,0 days 18:00:00.000000000
2019-04-11 19:00:00,68.52,79.94,19,0 days 19:00:00.000000000
2019-04-11 20:00:00,57.14,69.63,20,0 days 20:00:00.000000000
2019-04-11 21:00:00,56.36,69.04,21,0 days 21:00:00.000000000
2019-04-11 22:00:00,63.1,74.99,22,0 days 22:00:00.000000000
2019-04-11 23:00:00,38.74,47.89,23,0 days 23:00:00.000000000
2019-04-12 00:00:00,34.38,41.49,0,0 days 00:00:00.000000000
2019-04-12 01:00:00,26.9,31.1,1,0 days 01:00:00.000000000
2019-04-12 02:00:00,26.11,30.14,2,0 days 02:00:00.000000000
2019-04-12 03:00:00,27.58,31.83,3,0 days 03:00:00.000000000
2019-04-12 04:00:00,35.56,41.54,4,0 days 04:00:00.000000000
2019-04-12 05:00:00,48.87,56.56,5,0 days 05:00:00.000000000
2019-04-12 06:00:00,44.29,51.7,6,0 days 06:00:00.000000000
2019-04-12 07:00:00,70.67,81.43,7,0 days 07:00:00.000000000
2019-04-12 08:00:00,45.3,54.32,8,0 days 08:00:00.000000000
2019-04-12 09:00:00,33.92,39.71,9,0 days 09:00:00.000000000
2019-04-12 10:00:00,44.17,51.62,10,0 days 10:00:00.000000000
2019-04-12 11:00:00,35.73,41.23,11,0 days 11:00:00.000000000
2019-04-12 12:00:00,38.69,44.46,12,0 days 12:00:00.000000000
2019-04-12 13:00:00,25.98,29.88,13,0 days 13:00:00.000000000
2019-04-12 14:00:00,23.38,27.16,14,0 days 14:00:00.000000000
2019-04-12 15:00:00,24.18,28.05,15,0 days 15:00:00.000000000
2019-04-12 16:00:00,33.02,39.1,16,0 days 16:00:00.000000000
2019-04-12 17:00:00,51.51,59.87,17,0 days 17:00:00.000000000
2019-04-12 18:00:00,81.25,95.66,18,0 days 18:00:00.000000000
2019-04-12 19:00:00,94.67,106.72,19,0 days 19:00:00.000000000
2019-04-12 20:00:00,110.75,123.24,20,0 days 20:00:00.000000000
2019-04-12 21:00:00,78.05,89.99,21,0 days 21:00:00.000000000
2019-04-12 22:00:00,44.37,54.63,22,0 days 22:00:00.000000000
2019-04-12 23:00:00,42.31,50.3,23,0 days 23:00:00.000000000
