TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2018-02-01,9.23,14.16,42.1,1159.0,309.0,0.1571,0.2832,2181.0,66.71,0.1,87.448,4380.57,24.02,0.72,0.29,1.55,0,0,0,0,0,0,0,1
2018-02-02,9.01,14.13,46.63,1159.0,309.0,0.1571,0.2832,2181.0,73.21,0.04,87.45,3705.59,23.97,0.75,0.37,1.38,0,0,0,0,0,0,1,0
2018-02-03,7.6,11.9,38.29,1159.0,309.0,0.1571,0.2832,2181.0,66.54,0.04,87.48100000000001,5132.9,24.87,0.81,0.42,1.49,0,0,0,0,0,0,1,0
2018-02-04,9.33,14.31,44.56,1159.0,309.0,0.1571,0.2832,2181.0,65.17,0.05,87.43700000000001,4977.85,24.85,1.14,0.39,2.8,0,0,0,0,1,0,0,0
2018-02-05,8.19,13.01,47.88,1159.0,309.0,0.1571,0.2832,2181.0,57.42,0.0,87.37299999999999,4577.99,25.79,0.84,0.44,1.77,0,0,0,0,0,0,0,1
2018-02-06,7.85,12.45,41.79,1159.0,309.0,0.1571,0.2832,2181.0,59.46,0.0,87.405,3343.79,25.05,0.99,0.32,2.21,0,0,0,0,1,0,0,0
2018-02-07,8.72,13.57,44.95,1159.0,309.0,0.1571,0.2832,2181.0,76.04,0.07,87.398,3683.76,24.06,0.89,0.31,1.8,0,1,0,0,0,0,0,0
2018-02-08,7.4,11.88,35.87,1159.0,309.0,0.1571,0.2832,2181.0,74.46,0.1,87.40100000000001,4288.39,24.65,0.75,0.27,1.38,0,0,0,0,0,0,1,0
2018-02-09,11.75,18.61,59.18,1159.0,309.0,0.1571,0.2832,2181.0,75.67,0.07,87.40799999999999,1576.59,22.29,0.55,0.33,0.91,0,0,0,0,0,0,1,0
2018-02-10,9.01,14.66,51.12,1159.0,309.0,0.1571,0.2832,2181.0,75.38,0.12,87.35,3824.68,24.21,0.66,0.31,1.23,0,0,0,0,0,0,1,0
2018-02-11,8.81,14.4,49.32,1159.0,309.0,0.1571,0.2832,2181.0,68.0,0.02,87.49799999999999,4553.84,24.51,0.8,0.34,1.82,0,0,0,0,1,0,0,0
2018-02-12,7.88,12.37,44.65,1159.0,309.0,0.1571,0.2832,2181.0,76.67,0.68,87.63799999999999,3509.53,23.5,0.69,0.36,1.51,0,0,0,0,0,0,1,0
2018-02-13,4.92,7.94,34.04,1159.0,309.0,0.1571,0.2832,2181.0,69.25,0.0,87.624,4829.82,24.7,0.81,0.32,1.54,0,0,0,0,1,0,0,0
2018-02-14,3.085,5.105,23.814999999999998,1159.0,309.0,0.1571,0.2832,2181.0,69.63,0.02,87.572,3715.19,24.88,0.75,0.3,1.43,0,0,0,0,0,0,0,1
2018-02-15,1.25,2.27,13.59,1159.0,309.0,0.1571,0.2832,2181.0,67.25,0.0,87.523,5386.66,25.3,0.9,0.34,1.9,0,0,0,0,1,0,0,0
2018-02-16,0.06,0.07,0.07,1159.0,309.0,0.1571,0.2832,2181.0,62.75,0.0,87.52,5139.5,25.52,0.91,0.34,1.96,0,0,0,0,1,0,0,0
2018-02-17,8.32,11.01,26.76,1159.0,309.0,0.1571,0.2832,2181.0,55.88,0.0,87.43700000000001,4915.15,26.28,1.17,0.26,2.47,0,0,0,0,1,0,0,0
2018-02-18,12.94,16.93,46.19,1159.0,309.0,0.1571,0.2832,2181.0,62.13,1.77,87.406,3545.44,25.27,1.19,0.45,2.57,0,0,0,0,1,0,0,0
2018-02-19,11.15,14.41,35.04,1159.0,309.0,0.1571,0.2832,2181.0,78.96,27.45,87.512,3050.26,22.12,1.77,0.0,16.74,0,0,0,0,0,0,1,0
2018-02-20,8.39,10.89,28.7,1159.0,309.0,0.1571,0.2832,2181.0,78.63,0.07,87.454,3438.21,22.7,0.89,0.38,1.55,1,0,0,0,0,0,0,0
2018-02-21,11.22,14.36,29.5,1159.0,309.0,0.1571,0.2832,2181.0,81.21,1.23,87.459,2705.65,21.37,0.56,0.29,0.99,0,0,0,1,0,0,0,0
2018-02-22,25.21,33.51,79.55,1159.0,309.0,0.1571,0.2832,2181.0,74.5,0.0,87.31299999999999,3785.42,23.6,0.67,0.25,1.35,0,0,0,0,0,0,1,0
2018-02-23,12.52,17.03,41.88,1159.0,309.0,0.1571,0.2832,2181.0,73.83,1.2,87.339,4499.87,24.04,0.81,0.4,1.49,0,0,0,0,0,0,0,1
2018-02-24,8.18,10.62,23.42,1159.0,309.0,0.1571,0.2832,2181.0,79.29,0.0,87.51700000000001,3559.51,22.66,0.73,0.32,1.41,0,0,0,0,0,0,1,0
2018-02-25,7.77,10.395,23.97,1159.0,309.0,0.1571,0.2832,2181.0,73.63,0.0,87.556,3983.18,23.7,0.69,0.35,1.2,0,0,0,0,0,0,1,0
2018-02-26,7.36,10.17,24.52,1159.0,309.0,0.1571,0.2832,2181.0,77.04,9.9,87.529,3783.19,22.42,0.63,0.0,1.69,0,0,1,0,0,0,0,0
2018-02-27,17.95,26.95,109.24,1159.0,309.0,0.1571,0.2832,2181.0,79.13,10.67,87.57799999999999,3805.53,22.08,0.71,0.28,1.22,0,0,0,1,0,0,0,0
2018-02-28,37.41,52.84,124.96,1159.0,309.0,0.1571,0.2832,2181.0,78.25,0.0,87.604,3128.3,22.62,0.77,0.32,1.46,1,0,0,0,0,0,0,0
2018-03-01,24.055,34.56,87.425,1159.0,309.0,0.3304,0.5482,2372.0,85.25,69.87,87.62799999999999,3223.45,20.63,0.44,0.0,1.63,0,1,0,0,0,0,0,0
2018-03-02,24.055,34.56,87.425,1159.0,309.0,0.3304,0.5482,2372.0,90.79,0.11,87.68,1751.82,19.3,1.09,0.0,11.99,1,0,0,0,0,0,0,0
2018-03-03,10.7,16.28,49.89,1159.0,309.0,0.3304,0.5482,2372.0,83.96,14.76,87.557,2776.52,20.83,0.79,0.4,1.91,0,1,0,0,0,0,0,0
2018-03-04,10.61,17.520000000000003,55.43,1159.0,309.0,0.3304,0.5482,2372.0,97.58,35.03,87.665,890.02,18.53,12.4,0.0,33.3,0,1,0,0,0,0,0,0
2018-03-05,10.52,18.76,60.97,1159.0,309.0,0.3304,0.5482,2372.0,84.29,0.04,87.63,2959.9,21.89,0.68,0.0,1.43,0,0,0,0,0,0,0,1
2018-03-06,10.695,17.53,61.545,1159.0,309.0,0.3304,0.5482,2372.0,91.04,3.36,87.779,1667.21,20.04,0.68,0.28,1.67,0,0,0,0,1,0,0,0
2018-03-07,10.695,17.53,61.545,1159.0,309.0,0.3304,0.5482,2372.0,77.08,0.15,87.758,5019.44,22.61,0.83,0.37,1.37,0,0,0,0,0,0,0,1
