"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-05-19 10:00:00,,75.2,69.8,83,6,360,,,,,,
2017-05-19 11:00:00,,75.2,69.8,83,6,20,,,,,,
2017-05-19 12:00:00,1019.04,76.1,68.7,77,8,30,,,,,,
2017-05-19 13:00:00,,77.0,68.0,73,7,90,,,,,,
2017-05-19 14:00:00,,75.2,69.8,83,7,120,,,,,,
2017-05-19 15:00:00,,75.2,68.0,78,9,230,,,,,,
2017-05-19 16:00:00,,73.4,68.0,83,9,180,,,,,,
2017-05-19 17:00:00,,71.6,68.0,88,5,180,,,,,,
2017-05-19 18:00:00,,71.6,68.0,88,4,230,,,,,,
2017-05-19 19:00:00,,71.6,69.8,94,3,320,,,,,,
2017-05-19 20:00:00,,69.8,69.8,100,5,270,,,,,,
2017-05-19 21:00:00,1020.83,69.3,68.7,98,7,320,,,,,,
2017-05-19 22:00:00,,68.0,68.0,100,6,340,,,,,,
2017-05-19 23:00:00,,68.0,68.0,100,4,340,,,,,,
2017-05-20 00:00:00,1019.27,68.0,68.0,100,2,360,,,,,,
2017-05-20 01:00:00,,68.0,68.0,100,5,90,,,,,,
2017-05-20 02:00:00,,69.8,66.2,88,8,140,,,,,,
2017-05-20 03:00:00,1020.39,69.8,67.3,91,8,210,,,,,,
2017-05-20 04:00:00,,69.8,69.8,100,6,230,,,,,,
2017-05-20 05:00:00,,71.6,69.8,94,3,250,,,,,,
2017-05-20 06:00:00,1022.06,73.8,68.4,83,4,260,,,,,,
2017-05-20 07:00:00,,73.4,69.8,88,16,140,,,,,,
2017-05-20 08:00:00,,80.6,69.8,69,4,130,,,,,,
2017-05-20 09:00:00,1022.18,69.8,68.5,95,4,70,,,,,,
2017-05-20 10:00:00,,71.6,69.8,94,5,180,,,,,,
2017-05-20 11:00:00,,75.2,69.8,83,6,160,,,,,,
2017-05-20 12:00:00,,84.2,68.0,58,8,130,,,,,,
2017-05-20 13:00:00,,77.0,69.8,78,10,200,,,,,,
2017-05-20 14:00:00,,86.0,66.2,51,5,120,,,,,,
2017-05-20 15:00:00,1018.00,77.0,66.2,69,10,180,,,,,,
2017-05-21 15:00:00,1016.36,75.6,66.4,73,9,240,,,,,,
2017-05-21 19:00:00,,73.4,68.0,83,10,230,,,,,,
2017-05-21 20:00:00,,73.4,68.0,83,7,230,,,,,,
2017-05-21 20:30:00,,73.4,68.0,83,5,290,,,,,,
2017-05-21 21:00:00,1018.48,71.6,70.2,95,5,270,,,,,,
2017-05-21 22:00:00,,71.6,69.8,94,3,270,,,,,,
2017-05-22 01:00:00,,69.8,68.0,94,5,320,,,,,,
2017-05-22 02:00:00,,71.6,66.2,83,10,210,,,,,,
2017-05-22 05:00:00,,68.0,68.0,100,10,360,,,,,,
2017-05-22 07:00:00,,75.2,66.2,73,10,160,,,,,,
2017-05-22 08:00:00,,78.8,68.0,69,7,160,,,,,,
2017-05-22 09:00:00,1019.38,77.9,68.0,71,14,140,,,,,,
2017-05-22 10:00:00,,77.0,68.0,73,13,140,,,,,,
2017-05-22 11:00:00,,77.0,68.0,73,13,180,,,,,,
2017-05-22 13:00:00,,77.0,68.0,73,9,200,,,,,,
2017-05-22 14:00:00,,77.0,66.2,69,10,230,,,,,,
2017-05-22 15:00:00,1015.80,75.7,66.6,73,8,210,,,,,,
2017-05-22 16:00:00,,73.4,66.2,78,10,180,,,,,,
2017-05-22 17:00:00,,73.4,66.2,78,12,190,,,,,,
